PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1975272,42,F,B,Bloomfield,8,2
1974456,31,M,W,Outside City,,
1974466,63,F,B,Westwood,9,2
1974550,25,F,W,East Allegheny,1,1
1974596,25,M,B,Crafton Heights,2,5
1974556,45,M,W,Greenfield,5,3
1974628,29,M,W,Brookline,4,5
1974607,21,F,B,Regent Square,,
1974643,17,M,B,East Liberty,,
1974647,14,M,B,,,
1974696,30,F,B,East Hills,9,2
1974704,45,M,W,Carrick,4,3
1974872,54,M,W,East Allegheny,1,1
1974578,27,M,W,Crafton Heights,2,5
1975078,53,M,B,East Allegheny,1,1
1975102,18,M,B,Allegheny Center,1,1
1975138,22,F,W,East Allegheny,1,1
1975141,23,M,B,South Side Flats,3,3
1975192,33,M,W,Brookline,4,5
1975199,22,M,B,Sheraden,2,5
1975260,41,M,B,South Side Flats,3,3
1975381,14,M,W,East Carnegie,2,5
1975395,26,F,B,Golden Triangle/Civic Arena,6,6
1975398,22,M,W,South Side Flats,3,3
1975401,22,M,B,Point Breeze North,9,2
1975410,15,M,B,Perry South,6,1
1974645,18,M,B,South Side Flats,3,3
1974658,18,M,B,Allentown,3,5
1974694,31,M,B,Allentown,3,5
1975436,35,M,W,Golden Triangle/Civic Arena,6,6
1975438,30,M,B,North Shore,1,6
1975442,25,M,B,Marshall-Shadeland,1,1
1974758,45,M,B,Central Oakland,3,3
1974767,32,M,W,Middle Hill,6,3
1974791,25,F,W,South Side Flats,3,3
1975457,21,M,W,Strip District,7,6
1975458,31,M,W,Allegheny Center,1,1
1975461,29,M,B,Lincoln-Lemington-Belmar,9,2
1975497,27,M,B,Central Northside,1,1
1975502,13,M,B,Troy Hill-Herrs Island,1,1
1974804,19,F,B,South Side Flats,7,6
1974841,52,M,W,Highland Park,7,2
1975025,27,M,W,,,
1975096,40,M,W,Perry South,6,1
1975194,21,M,B,Homewood North,9,2
1975206,16,M,B,Northview Heights,1,1
1975268,22,M,W,Central Oakland,3,3
1975281,35,M,W,Brighton Heights,1,1
1975308,18,M,B,Bloomfield,7,2
1975317,20,M,B,Hazelwood,5,3
1975372,28,M,W,Perry North,,
1975519,17,M,B,Homewood North,9,2
1974446,26,M,B,Bedford Dwellings,6,3
1975135,30,M,B,Sheraden,2,5
1974953,45,M,W,East Liberty,8,2
1974512,19,F,B,Elliott,2,5
1974514,,M,B,Beechview,4,5
1974709,21,F,B,East Hills,9,2
1974770,36,M,B,Golden Triangle/Civic Arena,6,6
1975509,37,F,W,East Allegheny,1,1
1975218,44,F,W,Fineview,1,1
1975029,15,F,H,Carrick,4,3
1975031,35,M,B,Glen Hazel,5,3
1975032,29,M,B,Glen Hazel,5,3
1975034,23,F,B,Spring Hill-City View,1,1
1974457,37,M,W,,,
1974460,45,M,B,Central Oakland,3,3
1974505,25,F,B,Sheraden,2,5
1974974,24,F,B,Fineview,6,1
1974614,36,F,B,Marshall-Shadeland,1,1
1974623,57,M,B,Golden Triangle/Civic Arena,6,6
1975063,22,M,B,Elliott,2,5
1974834,25,M,W,East Allegheny,1,1
1975020,23,M,B,Central Northside,6,1
1975021,22,F,B,Central Northside,6,1
1975037,,M,B,East Liberty,8,2
1975470,24,M,B,Bluff,6,3
1975475,33,M,W,Carrick,4,3
1974540,27,M,W,South Side Flats,3,3
1974545,25,M,W,Beechview,2,5
1974561,48,F,B,Manchester,6,1
1974760,30,M,W,East Hills,9,2
1974769,42,M,W,Homewood West,9,2
1974775,19,M,B,Outside County,,
1975090,26,F,W,Brookline,4,5
1974821,28,M,W,Carrick,4,3
1975081,28,M,B,Point Breeze,9,3
1975530,25,F,W,Golden Triangle/Civic Arena,6,6
1975536,32,M,W,South Side Flats,3,3
1975133,33,M,W,South Side Flats,3,3
1975273,22,M,B,Homewood West,9,2
1975276,24,M,B,Carrick,4,3
1975384,32,M,W,East Allegheny,1,1
1975511,16,M,B,Homewood North,9,2
1975356,21,M,B,Beechview,4,5
1975358,35,M,B,Homewood South,9,2
1974535,25,F,B,Squirrel Hill South,5,3
1974941,34,M,W,Northview Heights,1,1
1974954,20,M,B,Terrace Village,6,3
1974940,27,M,W,Spring Hill-City View,1,1
1975298,25,M,B,Homewood North,9,2
1975301,40,M,B,Homewood North,9,2
1975305,23,M,B,Homewood North,9,2
1975306,22,M,H,Crafton Heights,2,5
1974967,22,M,W,Strip District,7,6
1974480,52,F,B,Bloomfield,7,2
1974487,33,M,W,Homewood West,9,2
1974489,23,F,W,Homewood West,9,2
1974498,19,M,B,Lincoln-Lemington-Belmar,9,2
1974877,44,M,B,Bloomfield,6,3
1975120,20,F,B,Upper Lawrenceville,7,2
1975134,48,M,W,Arlington,3,3
1975256,33,F,W,East Allegheny,1,1
1974507,27,M,B,South Side Slopes,3,3
1974703,23,F,B,Bluff,6,3
1974727,20,M,B,Middle Hill,6,3
1974464,36,M,B,Crafton Heights,2,5
1974475,47,F,B,Homewood South,9,2
1974477,24,M,B,Marshall-Shadeland,1,1
1974538,21,M,W,South Side Flats,3,3
1974567,29,M,W,Lower Lawrenceville,7,2
1974570,49,M,B,Garfield,9,2
1975008,24,M,W,Brookline,4,5
1974608,37,F,B,Homewood North,9,2
1974858,44,F,B,Sheraden,2,5
1974873,58,M,B,Homewood South,9,2
1974997,19,M,W,Brookline,4,5
1974502,29,M,B,Lincoln Place,5,3
1974571,59,M,W,Brookline,4,5
1974574,46,M,B,Elliott,2,5
1974575,52,M,W,Elliott,2,5
1974598,32,M,W,Allegheny Center,1,1
1975062,51,F,W,North Shore,1,6
1975073,24,F,W,Carrick,4,3
1975104,21,M,W,South Side Flats,3,3
1975142,24,M,B,South Side Flats,3,3
1975184,24,M,W,North Shore,1,6
1975189,54,F,B,Golden Triangle/Civic Arena,6,6
1975335,21,M,B,Point Breeze North,9,2
1975338,24,M,B,Larimer,9,2
1975382,17,M,B,Marshall-Shadeland,1,1
1975400,36,F,W,Beechview,4,5
1974690,27,F,B,Bedford Dwellings,6,3
1975415,63,F,B,Westwood,9,2
1975421,30,F,W,South Side Flats,,
1975422,53,M,W,Brookline,4,5
1975424,34,M,W,Fineview,,
1975440,28,M,B,Northview Heights,1,1
1974728,26,F,B,Mount Washington,3,5
1975464,40,M,B,California-Kirkbride,6,1
1975500,51,F,W,East Allegheny,1,1
1975501,54,M,B,Central Oakland,3,3
1975506,56,M,W,Golden Triangle/Civic Arena,6,6
1974803,22,M,B,Bloomfield,7,2
1974805,56,F,W,Banksville,2,5
1974866,29,M,B,Bon Air,2,5
1974883,38,M,W,North Shore,1,6
1974889,30,F,W,Bluff,,
1974890,59,M,B,Golden Triangle/Civic Arena,,
1974895,35,M,B,Homewood North,9,2
1974993,32,F,B,Glen Hazel,5,3
1975187,43,M,B,Golden Triangle/Civic Arena,6,6
1975188,32,M,W,South Shore,3,5
1975195,49,F,B,Bedford Dwellings,6,3
1975197,53,M,B,Hazelwood,5,3
1975307,21,M,B,Crafton Heights,2,5
1975313,42,F,W,Sheraden,2,5
1975343,33,F,W,Upper Lawrenceville,7,2
1975346,33,M,W,South Side Flats,3,3
1975394,28,M,B,Allentown,3,5
1975515,16,M,B,Homewood South,9,2
1974439,20,M,B,Fineview,6,1
